#{"t_start": 1778540287.4289503, "env_id": "None"}
r,l,t
310.71,15,56.82997
308.24,4,56.837978
186.55,55,56.946029
-28.88,100,57.107995
309.99,3,57.114996
-1276.52,200,57.453162
236.4,16,57.508156
309.99,3,57.528188
263.19,27,57.591721
181.84,52,57.688608
252.87,23,57.726605
-999.2,200,58.151251
-73.16,84,58.285865
10.72,76,58.408396
-71.91,73,58.618505
-453.13,183,58.994795
285.45,21,59.027818
276.54,18,59.059319
81.27,51,59.166045
-389.01,139,59.407935
287.46,18,59.460477
124.65,25,59.509476
303.33,1,59.511477
263.46,22,59.563025
259.52,24,59.61601
-522.02,182,59.994655
307.89,9,60.011654
298.05,13,60.038662
92.34,58,60.130866
281.55,15,60.155387
303.57,5,60.16339
211.84,44,60.237403
-1233.68,200,60.706917
308.13,13,60.742446
-1185.76,200,61.101032
-478.67,181,61.401613
252.01,33,61.488154
319.98,6,61.507141
306.89,9,61.527149
238.53,29,61.57969
-61.67,85,61.729249
287.37,25,61.775777
307.14,10,61.788779
-191.37,111,61.972827
228.36,28,62.017839
246.51,35,62.082346
-42.32,88,62.220868
-160.65,127,62.434443
301.86,22,62.478029
302.85,25,62.515015
51.18,62,62.608556
278.13,17,62.640909
103.0,68,62.772946
310.23,7,62.783944
262.44,28,62.82596
-166.99,117,63.01608
252.27,39,63.080604
265.06,22,63.114605
268.98,10,63.134611
283.89,13,63.159133
241.92,36,63.221132
255.37,25,63.324655
252.63,19,63.427444
218.76,48,63.507408
291.63,15,63.535415
297.39,11,63.550934
-212.82,98,63.723705
144.56,56,63.829254
294.06,10,63.843255
-1178.36,200,64.174161
316.65,5,64.185163
-1074.44,200,64.515483
199.02,38,64.578013
319.62,14,64.603013
261.48,12,64.623013
291.39,11,64.643525
311.81,9,64.660529
291.72,12,64.678529
308.13,13,64.701533
272.04,20,64.741537
19.08,84,64.879582
-1230.76,200,65.222215
267.03,23,65.257784
-1283.0,200,65.616529
-341.02,130,65.877198
239.46,22,65.911181
282.06,10,65.926178
300.99,3,65.936189
148.0,56,66.04438
306.66,2,66.046388
188.84,44,66.245468
287.88,16,66.277468
103.59,47,66.360315
19.75,75,66.49387
260.76,36,66.553398
287.14,14,66.578402
221.04,28,66.62341
261.87,23,66.690944
266.12,24,66.726957
-18.63,105,66.892047
-71.22,94,67.086116
323.37,17,67.123148
203.67,43,67.23068
294.87,19,67.281196
-284.41,191,67.650726
85.33,69,67.784123
27.42,74,67.90287
288.89,13,67.925892
223.5,38,67.986421
298.12,28,68.035406
291.15,7,68.04811
304.32,4,68.059758
190.17,45,68.125345
127.09,77,68.245804
159.33,73,68.368463
1.07,71,68.501179
-369.29,151,68.744236
293.07,7,68.757754
-132.11,137,68.975969
274.23,11,69.004967
334.53,17,69.034001
103.17,65,69.256543
-277.1,138,69.480094
272.94,26,69.523093
-1231.48,200,69.855869
-67.79,137,70.076553
300.15,7,70.089557
309.99,3,70.101691
257.19,31,70.155218
217.14,50,70.23522
12.47,83,70.373739
-196.8,120,70.580299
-172.52,108,70.737833
319.81,9,70.750725
186.27,39,70.80724
309.99,3,70.819241
318.87,15,70.840246
-167.54,114,71.041283
250.47,19,71.073791
306.9,6,71.086812
270.75,39,71.148365
-119.35,113,71.335866
120.84,44,71.400671
-1256.12,200,71.716422
-382.62,150,71.991038
296.82,6,72.003037
-601.37,171,72.473768
219.94,38,72.533756
344.87,15,72.563288
190.96,32,72.628291
-1431.92,200,73.01146
211.44,40,73.082979
-129.31,89,73.225507
292.32,8,73.238514
259.26,34,73.298025
311.46,14,73.327028
281.68,32,73.38054
291.8,16,73.404536
311.22,10,73.421537
249.54,26,73.46607
-1136.64,200,73.836697
296.91,3,73.844697
-673.52,196,74.222974
-1268.64,200,74.559231
218.61,29,74.609233
-102.72,76,74.735938
309.72,12,74.751463
-1360.76,200,75.090948
212.1,46,75.185473
-310.73,119,75.516992
300.99,3,75.518996
152.86,46,75.604508
303.48,8,75.626497
310.98,6,75.638502
-222.76,124,75.895995
291.38,18,75.94021
-1309.32,200,76.309361
-1164.96,200,76.702357
301.5,30,76.756897
-1353.24,200,77.112534
317.12,16,77.139544
306.66,2,77.146544
