episode_id,algorithm,start_position,target_position,total_reward,total_steps,success,path_length,invalid_moves,collision_count,visited_cells,final_distance_to_goal,time_to_goal_steps
69,dqn,"[10, 10]","[7, 3]",354.40498542785645,16,True,16,0,0,17,0,16
70,dqn,"[10, 11]","[10, 9]",326.8199863433838,4,True,4,0,0,5,0,4
71,dqn,"[2, 13]","[10, 4]",-2414.840000152588,200,False,200,0,0,3,15,
72,dqn,"[2, 13]","[10, 4]",-2414.840000152588,200,False,200,0,0,3,15,
73,dqn,"[12, 13]","[6, 2]",306.5331687927246,19,True,19,0,0,20,0,19
74,dqn,"[7, 2]","[10, 9]",-2399.4400005340576,200,False,200,0,0,8,6,
75,dqn,"[3, 2]","[10, 9]",-548.8400001525879,200,False,2,0,198,3,14,
76,dqn,"[4, 9]","[11, 3]",-2278.0400009155273,200,False,200,0,0,13,3,
77,dqn,"[7, 12]","[7, 3]",327.9499855041504,15,True,15,0,0,16,0,15
78,dqn,"[5, 5]","[1, 11]",-2385.3600006103516,200,False,200,0,0,9,10,
79,dqn,"[8, 5]","[10, 9]",-2373.4400005340576,200,False,200,0,0,8,6,
80,dqn,"[9, 10]","[2, 1]",-4480.440000534058,200,False,200,0,0,8,10,
81,dqn,"[11, 9]","[7, 3]",356.2999858856201,10,True,10,0,0,11,0,10
