time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/episode_reward_ma100,time/total_timesteps,time/time_elapsed,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,eval/mean_ep_length,eval/mean_reward
,,,,-202.30450000000005,81920,,0.09429833642789162,0.0805671215057373,-0.931543474830687,0.01567881,0.0003,390,0.16474609375,-0.015970140222634654,0.2,0.041159600019454956,160.6,-631.29
40,106.86,-202.30450000000005,559,,81920,146,,,,,,,,,,,,
41,107.29,-199.29500000000004,559,-199.29500000000004,83968,150,0.06559048863127828,0.34019380807876587,-0.9387258272618055,0.013058253,0.0003,400,0.12421875,-0.011779312269936781,0.2,-0.03225719556212425,,
42,105.71,-195.63999999999996,560,-195.63999999999996,86016,153,0.11320230707060545,0.47187983989715576,-0.9672672037035227,0.0138848815,0.0003,410,0.167333984375,-0.015952442406705812,0.2,0.02329977974295616,,
43,104.82,-191.49900000000002,560,-191.49900000000002,88064,157,0.0974159229081124,0.3532359004020691,-0.8824734415858984,0.018710399,0.0003,420,0.185595703125,-0.01730100208442309,0.2,-0.013326004147529602,,
,,,,-190.40650000000002,90112,,0.04450225138280075,0.6236280202865601,-0.9425177345052361,0.013216585,0.0003,430,0.189208984375,-0.01733958153054118,0.2,-0.03723685070872307,200.0,-811.3399999999999
44,104.04,-190.40650000000002,558,,90112,161,,,,,,,,,,,,
45,103.22,-190.672,558,-190.672,92160,165,0.11417820563656278,0.2632604241371155,-0.940422286093235,0.012555802,0.0003,440,0.1572265625,-0.015243286412442103,0.2,0.029372863471508026,,
46,104.86,-205.59199999999998,559,-205.59199999999998,94208,168,0.07168808590504341,0.42748963832855225,-0.8731926575303077,0.011834202,0.0003,450,0.1224609375,-0.010497759810823482,0.2,-0.03818945959210396,,
47,105.78,-208.33300000000003,560,-208.33300000000003,96256,171,0.05209041661291849,0.6916624307632446,-0.7809694843366742,0.011714637,0.0003,460,0.10634765625,-0.010053159605013207,0.2,0.017015257850289345,,
,,,,-188.019,98304,,0.09231437214184553,0.3190852403640747,-0.8887898607179523,0.0118627995,0.0003,470,0.1525390625,-0.014162420040520374,0.2,0.004591282457113266,163.0,-627.29
48,97.98,-188.019,559,,98304,175,,,,,,,,,,,,
49,95.2,-180.80200000000002,558,-180.80200000000002,100352,179,0.12593717969721183,0.3557935357093811,-0.8051129247993231,0.013552859,0.0003,480,0.1345703125,-0.012370840480434709,0.2,0.025184907019138336,,
50,88.26,-154.4495,560,-154.4495,102400,182,0.1312963309814222,0.27099084854125977,-0.8502520352602005,0.014020797,0.0003,490,0.1509765625,-0.01536569349555066,0.2,0.0009888075292110443,,
51,82.91,-136.28,560,-136.28,104448,186,0.07713674405531493,0.2805408835411072,-0.8864574236795306,0.016191965,0.0003,500,0.1671875,-0.01725215696642408,0.2,-0.02240249514579773,,
,,,,-130.7745,106496,,0.09243894764804281,0.44305241107940674,-0.9004084380343557,0.014392095,0.0003,510,0.164990234375,-0.01581290076719597,0.2,-0.05030752718448639,120.8,-447.64
52,80.47,-130.7745,558,,106496,190,,,,,,,,,,,,
53,90.06,-166.4575,559,-166.4575,108544,194,0.06542153275222518,0.286965548992157,-0.7388299645856022,0.0154823335,0.0003,520,0.137060546875,-0.01743157810124103,0.2,-0.027770044282078743,,
54,94.93,-186.55849999999998,559,-186.55849999999998,110592,197,0.03861274970695376,0.6193068027496338,-0.8234353484585881,0.01869344,0.0003,530,0.2095703125,-0.017910838207171764,0.2,-0.029684729874134064,,
55,92.21,-179.68050000000002,560,-179.68050000000002,112640,201,0.03629991755296942,0.3926428556442261,-0.8099440591409802,0.014494196,0.0003,540,0.1818359375,-0.012362682072853204,0.2,-0.029187414795160294,,
,,,,-206.8255,114688,,0.07978645212715492,0.18718868494033813,-0.8111045215278864,0.014726592,0.0003,550,0.1669921875,-0.014630993035098072,0.2,0.02057838998734951,121.6,-439.68999999999994
56,98.63,-206.8255,559,,114688,204,,,,,,,,,,,,
57,103.37,-217.75449999999998,560,-217.75449999999998,116736,208,0.044908782464335675,0.6060136556625366,-0.7589371833950281,0.0139553035,0.0003,560,0.15185546875,-0.013501260307384655,0.2,0.028176061809062958,,
58,94.33,-181.62050000000002,560,-181.62050000000002,118784,211,0.0665528533339966,0.39636868238449097,-0.8767872091382742,0.014702102,0.0003,570,0.17197265625,-0.013967086000775453,0.2,0.017689591273665428,,
59,91.77,-174.7415,560,-174.7415,120832,215,0.07336005430261139,0.2175704836845398,-0.8571478512138129,0.0156407,0.0003,580,0.18681640625,-0.0173293612228008,0.2,-0.03310009837150574,,
,,,,-153.91649999999998,122880,,0.07055952859809622,0.15607112646102905,-0.7716095235198737,0.009605851,0.0003,590,0.104931640625,-0.006897163687972352,0.2,-0.019557463005185127,123.4,-438.68999999999994
60,86.13,-153.91649999999998,560,,122880,219,,,,,,,,,,,,
61,93.51,-174.12150000000005,560,-174.12150000000005,124928,222,0.06970630035502837,0.48246288299560547,-0.8580219773575664,0.014987841,0.0003,600,0.182177734375,-0.017181642784271388,0.2,-0.006536467000842094,,
62,100.32,-204.813,560,-204.813,126976,226,0.04158937236352358,0.5029207468032837,-0.9553478257730603,0.017350662,0.0003,610,0.197265625,-0.015069919540110277,0.2,-0.04113602638244629,,
63,101.89,-210.169,561,-210.169,129024,229,0.03671516633330611,0.052217841148376465,-0.7983248190954327,0.015890006,0.0003,620,0.17900390625,-0.01120539274706971,0.2,0.030013415962457657,,
,,,,-222.73649999999998,131072,,0.06408695781137794,0.6432456970214844,-0.940058515779674,0.0192545,0.0003,630,0.24794921875,-0.016990422447997845,0.2,-0.0322459377348423,161.0,-625.1700000000001
64,105.75,-222.73649999999998,560,,131072,233,,,,,,,,,,,,
65,94.4,-184.04750000000007,560,-184.04750000000007,133120,237,0.04204276771633886,0.6727209091186523,-0.8194693459197879,0.017788867,0.0003,640,0.178515625,-0.016986403542978222,0.2,-0.035817891359329224,,
