#{"t_start": 1778011801.622571, "env_id": "None"}
r,l,t
-512.0,200,172.327319
-626.35,200,172.502496
-460.6,188,172.701365
51.4,31,172.727373
-478.7,200,172.974899
74.95,13,172.987909
95.7,15,173.003905
14.6,39,173.04144
-485.5,200,173.228256
-263.75,113,174.59714
99.0,4,174.602141
-611.2,200,174.788744
-142.3,107,174.932126
61.9,23,174.972911
-562.75,200,175.221877
-89.85,72,175.304791
43.05,24,175.328502
-124.8,96,175.491374
38.45,24,175.529241
-381.6,178,175.735598
90.55,8,175.744176
-209.2,127,175.869949
-674.25,200,176.048932
7.75,42,176.090321
-590.9,200,176.286152
-704.15,200,176.479884
95.2,8,176.487883
-79.9,88,176.56898
90.55,8,176.575992
85.9,17,176.591395
61.85,22,176.611116
104.0,5,176.620671
83.9,7,176.626209
96.85,5,176.633579
-400.65,183,178.568736
-97.1,87,178.674264
-26.55,56,178.767821
-287.15,156,178.910607
-570.9,200,179.164658
101.0,2,179.166659
38.2,41,179.215056
-40.3,64,179.280618
-627.5,200,179.527057
17.95,38,179.588592
-140.3,95,179.706818
98.7,14,179.719912
81.25,13,179.741198
93.4,10,179.756323
69.5,21,179.793261
100.0,1,179.795508
-196.65,126,179.931735
-330.3,159,180.171174
95.4,12,180.181174
49.0,30,180.216282
90.05,10,180.23341
-493.3,200,180.575085
-687.5,200,180.796253
-164.35,120,180.979679
-24.5,51,181.027718
-466.2,200,182.395755
85.25,13,182.409744
-489.6,200,182.610795
-14.75,52,182.657423
-16.85,49,182.697423
-521.05,200,182.904518
57.7,24,182.924513
50.55,21,182.942608
-610.7,200,183.147601
70.0,24,183.168514
95.7,11,183.181765
95.7,7,183.192769
94.85,3,183.198763
-551.8,200,183.381953
-547.05,200,183.574335
77.15,22,183.603332
-555.35,200,183.816892
-309.75,158,183.998498
78.95,18,184.013494
3.45,56,184.060227
105.0,6,184.066221
38.95,33,184.108573
94.2,7,184.114568
-537.95,200,184.299165
-554.9,200,185.78643
102.0,3,185.789425
84.4,14,185.805428
-555.95,200,186.102638
-27.35,59,186.183462
-347.85,187,186.444237
-190.5,125,186.625792
-518.6,200,186.849127
-65.6,67,186.917233
93.7,5,186.922231
61.85,23,186.940337
71.8,17,186.954019
86.55,9,186.961016
102.0,11,186.970013
99.85,8,186.977006
-96.2,88,187.047341
-247.7,119,187.163996
82.8,19,187.196005
-71.35,74,187.3037
95.05,11,187.315655
-522.6,200,187.494741
76.45,21,187.515835
26.55,36,187.559621
81.1,24,187.590635
-606.1,200,187.81536
-516.65,200,189.280133
-107.8,91,189.37469
-395.05,185,189.629404
97.85,6,189.634415
-624.6,200,189.916789
98.7,14,189.940909
2.5,43,189.980565
-607.35,200,190.322539
89.25,18,190.354069
89.4,15,190.368079
58.4,23,190.388683
27.05,36,190.446702
38.35,39,190.479483
-27.85,66,190.532506
95.85,12,190.542737
98.85,7,190.548743
-591.3,200,190.731464
93.2,6,190.736466
-594.5,200,190.969865
92.7,4,190.977961
-779.6,200,191.203069
56.35,23,191.221163
-41.9,70,191.279863
106.0,7,191.286942
48.95,31,191.311857
69.3,21,191.329942
-687.4,200,191.576394
-513.65,200,193.526468
-498.4,200,193.701534
-532.75,200,193.946205
-515.25,200,194.141297
98.7,10,194.159306
69.5,20,194.196859
-30.15,56,194.251863
-657.15,200,194.473556
-571.7,179,194.69328
-508.15,200,194.925663
77.95,20,194.958793
-344.85,150,195.181027
53.55,26,195.217365
-621.8,200,195.432804
37.45,22,195.451811
-498.05,200,195.6379
-547.75,200,196.998776
-480.65,200,197.207929
-661.35,200,197.429144
80.25,16,197.444132
60.4,30,197.49958
-551.1,200,197.694267
94.85,3,197.697267
-516.0,200,197.878295
-162.5,117,198.017642
-615.0,200,198.258193
94.55,17,198.273496
91.7,7,198.280551
-574.05,200,198.451112
-570.6,200,198.647419
-556.35,200,198.907015
23.05,38,198.950086
-533.4,200,200.283575
68.3,27,200.309604
61.5,21,200.331577
-61.8,74,200.413222
-525.25,200,200.582292
5.6,44,200.618293
-137.9,101,200.70285
-525.6,200,200.90613
100.0,5,200.911373
59.2,31,200.936387
-162.3,89,201.012923
92.55,11,201.027526
-653.3,200,201.349601
57.4,29,201.393178
100.85,9,201.401179
98.0,3,201.404176
46.8,32,201.433284
56.4,32,201.490001
-498.75,200,201.740789
4.8,42,201.80547
-537.65,200,202.047872
87.7,7,202.053964
-202.0,104,202.194632
-680.75,200,202.486504
-602.95,200,203.851786
-27.4,69,203.928364
-496.0,200,204.206789
-533.95,200,204.438148
108.0,9,204.454142
84.75,15,204.481021
74.45,15,204.50493
101.0,2,204.508929
104.0,5,204.517938
19.45,40,204.556432
-664.95,200,204.74051
-485.25,200,204.955706
-480.75,200,205.11978
-690.9,200,205.364543
74.45,18,205.382159
-495.35,200,205.576245
69.85,29,205.600258
95.55,14,205.613256
-749.5,200,205.8067
65.5,21,205.824699
62.0,19,205.8407
-545.4,200,207.676618
100.85,9,207.687884
-634.8,200,207.897291
106.0,7,207.911789
49.45,24,207.959785
-608.2,200,208.148458
-36.15,58,208.204627
33.0,37,208.240975
25.25,43,208.281519
92.7,8,208.290511
54.95,30,208.319526
-479.15,200,208.594857
95.05,15,208.610997
12.45,38,208.658082
-536.6,200,208.87751
-468.9,200,209.09028
92.05,12,209.103283
97.85,6,209.111279
-173.25,107,209.196127
-515.55,200,209.426693
-89.45,82,209.493552
32.7,33,209.527456
-272.75,168,211.165832
-17.45,58,211.217344
92.05,8,211.224342
-231.3,137,211.351856
-369.8,186,211.585519
20.15,38,211.628589
-125.85,89,211.713373
12.25,46,211.759372
-577.95,200,211.999356
-667.1,200,212.185492
99.7,11,212.195472
-295.25,159,212.388961
85.9,9,212.395971
-658.3,200,212.598704
35.15,38,212.629704
70.7,29,212.6537
-541.05,200,212.861195
84.9,8,212.874297
91.55,18,212.902005
-583.05,200,213.097069
79.6,17,213.11207
90.05,6,213.11707
-465.95,200,214.705979
33.35,31,214.734982
86.4,8,214.741982
21.75,43,214.784505
-591.1,200,214.972233
100.85,13,214.985944
-168.65,115,215.093458
81.6,26,215.12248
5.0,40,215.167484
-40.2,56,215.225327
-661.0,200,215.484274
-494.7,200,215.730711
-154.6,109,215.847281
77.8,19,215.865295
100.0,1,215.866297
-592.7,200,216.117204
-662.4,200,216.316777
60.85,22,216.33778
-560.25,200,216.597092
12.25,29,216.638087
96.2,13,216.649078
103.0,4,216.652074
-500.15,200,216.886079
-619.8,200,218.137953
94.85,3,218.140953
-162.15,115,218.247562
90.7,6,218.252561
-537.75,200,218.526397
49.85,26,218.550463
-524.55,200,218.778355
18.3,37,218.80888
69.65,22,218.839971
78.95,22,218.877087
94.2,7,218.888698
-145.65,86,219.034416
-9.45,47,219.097204
-608.2,200,219.313351
-36.0,55,219.373346
29.35,43,219.444023
101.85,10,219.463023
-592.95,200,219.644085
93.7,5,219.648085
67.15,25,219.66908
27.2,31,219.695623
80.1,11,219.706623
-549.95,200,219.972247
83.6,17,219.998075
-144.1,81,220.12055
-577.4,200,220.32988
-534.95,200,222.188374
-512.05,200,222.369549
80.25,9,222.380613
-519.25,200,222.654992
-495.5,200,222.891278
105.0,6,222.896804
91.7,7,222.902805
76.95,23,222.921803
-490.5,200,223.101883
76.8,22,223.119884
-504.45,200,223.38576
-605.65,200,223.610634
-93.55,72,223.673711
-253.1,126,223.788681
-168.15,107,223.909935
-574.4,200,224.154207
5.55,53,224.197725
-546.65,200,225.484392
58.05,26,225.505919
101.0,6,225.512914
43.1,31,225.545923
-560.85,200,225.753376
-577.85,200,225.976851
-515.4,200,226.256398
-668.6,200,226.471527
-220.65,119,226.63015
-616.35,200,226.906663
6.3,49,226.963661
95.7,7,226.969659
-554.1,200,227.177568
-651.15,200,227.457042
-537.7,200,227.733832
-541.75,200,229.057464
98.85,11,229.068471
34.8,31,229.095446
-268.45,123,229.222552
-529.5,200,229.451772
102.0,3,229.454773
-556.7,200,229.637195
-62.7,77,229.70965
-303.35,144,229.862804
102.0,3,229.865804
-39.7,62,229.931643
-17.6,57,229.979649
98.85,7,229.986635
